,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
wdbc,0.7382152940623705,0.8097858122220941,0.722445935152082,0.0,0.8091702012241743,0.5187758684760184,0.8851647894001717,0.6642346561761854,0.7893008623893182,0.5470309716936403,0.8759055301409124,0.5952504516972283,0.7902955573495304,0.29221340184608546,0.0,0.8380163550703281,0.7036908895979361,0.0,0.6940755049825514,0.6947877556948022,0.9278416347381865,0.7229216588287053,0.9153617635626632,0.7500608670023963
wilt,0.0214007782101167,0.0116731517509727,0.0116731517509727,,0.0155642023346303,0.0428015564202334,0.18774319066147857,0.0,0.0233463035019455,0.008754863813229525,0.1673151750972762,0.0778210116731517,0.0155642023346303,,,0.0048638132295718995,0.15564202334630345,,0.2752918287937743,0.18385214007782097,0.34922178988326846,0.2315175097276264,0.3035019455252918,
wine,0.7118565794935658,0.7797509339975094,0.7864176006641761,0.19823941469489414,0.5605902345371523,0.3882923412204234,0.8222698733914487,0.765792600664176,0.8523165732669158,0.5987084889995848,0.7989744188459942,0.7090413553341636,0.6617097343295973,0.0,0.0,0.7251899128268992,0.9769764425072645,0.0,1.0,0.9875,0.9914772727272727,0.9786363636363636,0.9914772727272727,0.9971590909090909
wpbc,0.3676310440523749,0.3560947977487806,0.45059132007411384,0.20655355799093383,0.34132156984250805,0.36129674539011636,0.40016348117267375,0.4512328708816103,0.4915214522385556,0.36673326282443097,0.4243751804583261,0.4235947826226441,0.3437057036369142,0.1832843056554584,0.36490398526559525,0.6871628468598985,0.5821898055046192,0.3649188662179762,0.6166565771818502,0.62982758244659,0.9035264072091026,0.6254119177633468,0.9024152960979915,0.6273389685578981
yeast,0.4457593688362919,0.4654832347140039,0.5138067061143984,0.4595660749506903,0.4260355029585799,0.4635108481262328,0.47386587771203154,0.4437869822485207,0.4674556213017751,0.4684418145956607,0.4773175542406311,0.46252465483234717,0.4339250493096647,0.4654832347140039,0.4709072978303747,0.4787968441814595,0.5,0.4714003944773175,0.5064102564102564,0.47337278106508873,0.49852071005917165,0.47386587771203154,0.5044378698224852,0.48767258382643
yelp,0.1595,0.152,0.1345,,0.16,0.134,0.2065,0.162,0.188,0.1365,0.206,0.1245,0.162,,,0.0905,0.14400000000000002,,0.1225,0.151,0.089,0.167,0.089,
MNIST-C,0.34090624999999997,0.42325,0.42928125000000006,,0.0,0.0,0.5317812500000001,0.23237499999999997,0.46299999999999997,0.35159375,0.529625,0.25728125,0.41112499999999996,,,0.3424375,0.5160833333333333,,0.47640625000000003,0.49531250000000004,0.51759375,0.4829375,0.52203125,
FashionMNIST,0.4581746031746031,0.5644444444444444,0.5716666666666667,,0.0,0.0,0.6376984126984128,0.3365079365079365,0.5904761904761904,0.487936507936508,0.633015873015873,0.37349206349206343,0.5561904761904761,,,0.4761111111111111,0.5636096413874192,,0.5864285714285714,0.5953174603174604,0.6273809523809524,0.5897619047619047,0.6293650793650793,
CIFAR10,0.18260456273764256,0.22813688212927752,0.2349809885931559,,0.09695817490494293,0.10190114068441061,0.27195817490494295,0.14904942965779464,0.22851711026615962,0.2015209125475285,0.270722433460076,0.17870722433460073,0.22623574144486688,,,0.1656844106463878,0.21840485243527066,,0.2336501901140684,0.2417300380228137,0.1963878326996197,0.24068441064638782,0.20532319391634973,
SVHN,0.16507023912363797,0.18429260255198732,0.18666978337011764,,0.0,0.0,0.19685858628538627,0.13099314909750803,0.18950983558023288,0.15259672800659155,0.19225229869910274,0.14163805349097316,0.18266640334504927,,,0.15724450661236103,0.2052291432430153,,0.196835341882871,0.19924058585038415,0.194684307429448,0.19646104684553253,0.19593020282555068,
MVTec-AD,0.6455571334695557,0.6443881989015938,0.6640441040864092,,0.6321070321077223,0.6321070321077223,0.6721511528099607,0.6272943929429461,0.6719829120567036,0.6036975909286565,0.669958488737586,0.7204599846732679,0.6327203695225049,,,0.7621193653837222,0.7770646048223261,,0.7886404618994836,0.7785538151653614,0.8248899260262199,0.7827219555557503,0.8252851121953209,
20news,0.10139891552506979,0.10972862117285277,0.1268142267449692,,0.10935225532638466,0.1054443239777156,0.16380218835300822,0.09421502819616094,0.1439996277693853,0.09980756741839496,0.16413660209998562,0.1429778304022061,0.10027225297964248,,,0.12281380760490658,0.16081481302468195,,0.16363889388831412,0.19829970440051595,0.16081121610750682,0.18072021033448518,0.16193298255244395,
agnews,0.123875,0.137,0.15387499999999998,,0.11549999999999999,0.11449999999999999,0.305625,0.11449999999999999,0.201,0.13487500000000002,0.306,0.13,0.1225,,,0.10087499999999999,0.214,,0.22412499999999996,0.20975,0.177375,0.22,0.17662499999999998,
